                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.3043,                 8.3021,                 2.7015,                      0,                      0,                      0,                      0,                 6.0302,                 8.2986,                 2.9557,                      0,                      0,                      0
                      2,                  5.625,                 8.1786,                 2.8945,                      0,                      0,                      0,                      0,                 5.9897,                 8.2985,                  2.927,             1.2875e-05,             1.2875e-05,             1.2875e-05
                      3,                 5.2472,                 8.2469,                 2.6934,                      0,                      0,                      0,                      0,                 5.8996,                 8.2984,                 2.8894,             2.2921e-05,             2.2921e-05,             2.2921e-05
                      4,                  4.965,                 8.1002,                 2.7275,                      0,                      0,                      0,                      0,                 5.7897,                  8.298,                 2.8414,             3.0138e-05,             3.0138e-05,             3.0138e-05
                      5,                 4.8464,                 8.0759,                 2.5289,                      0,                      0,                      0,                      0,                 5.6157,                 8.2967,                 2.7809,             3.4525e-05,             3.4525e-05,             3.4525e-05
                      6,                 4.8748,                 7.9506,                 2.4484,                      0,                      0,                      0,                      0,                 5.4541,                 8.2909,                 2.7251,             3.6082e-05,             3.6082e-05,             3.6082e-05
                      7,                 4.3491,                 7.8774,                 2.4592,                      0,                      0,                      0,                      0,                 5.3449,                 8.2878,                 2.6685,              3.481e-05,              3.481e-05,              3.481e-05
                      8,                 4.3317,                 7.8779,                 2.4014,                      0,                      0,                      0,                      0,                 5.2435,                 8.2845,                 2.6316,             3.0709e-05,             3.0709e-05,             3.0709e-05
                      9,                 4.3054,                  7.856,                 2.4772,                      0,                      0,                      0,                      0,                 5.1871,                 8.2821,                  2.613,             2.3779e-05,             2.3779e-05,             2.3779e-05
                     10,                 4.4748,                  7.879,                 2.3692,                      0,                      0,                      0,                      0,                 5.1203,                 8.2736,                 2.5905,             1.4018e-05,             1.4018e-05,             1.4018e-05
