                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.7307,                 8.1586,                 2.8724,                0.00064,                0.00093,                0.00032,                  6e-05,                 5.1801,                 8.3141,                 2.7531,                      0,                      0,                      0
                      2,                 5.8784,                 8.2041,                 2.8627,                0.00057,                0.00093,                0.00029,                  6e-05,                 5.1227,                 8.3112,                 2.7138,             1.4262e-05,             1.4262e-05,             1.4262e-05
                      3,                 5.3056,                 8.1605,                 2.7592,                0.00104,                0.00185,                0.00052,                  8e-05,                 5.0561,                 8.3117,                 2.6576,             2.8467e-05,             2.8467e-05,             2.8467e-05
                      4,                 5.2186,                 8.1469,                 2.6701,                0.00097,                0.00185,                0.00049,                 0.0001,                 4.9442,                 8.3042,                 2.5877,             4.2615e-05,             4.2615e-05,             4.2615e-05
                      5,                 4.8793,                 8.0535,                  2.557,                0.00194,                 0.0037,                0.00099,                0.00015,                 4.7569,                  8.293,                 2.4843,             5.6707e-05,             5.6707e-05,             5.6707e-05
                      6,                 4.5512,                  8.009,                 2.4478,                0.00166,                0.00278,                0.00084,                0.00028,                 4.5842,                 8.2537,                 2.3818,             7.0743e-05,             7.0743e-05,             7.0743e-05
                      7,                 4.5181,                 7.9161,                  2.412,                0.00187,                0.00278,                0.00098,                0.00055,                 4.3825,                  8.167,                 2.2626,             8.4721e-05,             8.4721e-05,             8.4721e-05
                      8,                 4.6018,                 7.9683,                 2.3399,                0.00284,                 0.0037,                0.00148,                0.00081,                 4.3229,                 8.0881,                  2.193,             9.8644e-05,             9.8644e-05,             9.8644e-05
                      9,                 4.2039,                 7.7469,                 2.2432,                0.00501,                0.00556,                0.00267,                 0.0013,                 4.3425,                 8.0175,                 2.1434,             0.00011251,             0.00011251,             0.00011251
                     10,                  4.348,                 7.6887,                 2.2587,                0.00665,                0.00951,                0.00394,                0.00209,                 4.3244,                 8.0017,                 2.1017,             0.00012632,             0.00012632,             0.00012632
                     11,                 4.1523,                 7.6173,                 2.1901,                0.00881,                0.01268,                0.00625,                0.00316,                 4.2912,                 7.9987,                 2.0828,             0.00014007,             0.00014007,             0.00014007
                     12,                 3.8232,                 7.3745,                 2.0854,                0.01627,                0.02813,                0.01252,                0.00522,                 4.1892,                 7.9946,                 2.0516,             0.00015377,             0.00015377,             0.00015377
                     13,                 4.1478,                 7.4489,                  2.117,                0.01727,                0.03315,                0.01381,                0.00644,                 4.1592,                 8.0383,                 2.0698,             0.00016741,             0.00016741,             0.00016741
                     14,                 3.9436,                  7.189,                 2.0911,                0.01749,                0.03711,                0.01723,                0.00831,                 4.1729,                 8.0468,                 2.0896,             0.00018099,             0.00018099,             0.00018099
                     15,                 4.2864,                 7.2005,                 2.0984,                0.01848,                0.03764,                0.02062,                   0.01,                 4.2483,                 8.0521,                 2.1143,             0.00019451,             0.00019451,             0.00019451
                     16,                 4.1817,                 7.0828,                 2.0578,                0.02112,                0.03871,                0.02216,                0.01001,                 4.3478,                 8.0403,                  2.132,             0.00020798,             0.00020798,             0.00020798
                     17,                 4.3107,                 6.7901,                 2.0809,                0.02098,                0.03739,                0.02107,                0.00866,                 4.3808,                 7.9899,                 2.1229,              0.0002214,              0.0002214,              0.0002214
                     18,                 4.0705,                 6.6585,                 2.0622,                0.02098,                0.03739,                0.02107,                0.00866,                 4.3808,                 7.9899,                 2.1229,             0.00023475,             0.00023475,             0.00023475
                     19,                 4.0087,                 6.8197,                 2.0332,                0.02086,                0.03964,                0.02031,                0.00888,                 4.0545,                 7.8639,                 2.0481,             0.00024805,             0.00024805,             0.00024805
                     20,                 3.9264,                 6.7281,                 2.0272,                0.02086,                0.03964,                0.02031,                0.00888,                 4.0545,                 7.8639,                 2.0481,              0.0002613,              0.0002613,              0.0002613
                     21,                 3.7856,                 6.6485,                 2.0349,                0.01984,                0.04095,                0.01879,                0.00862,                 3.7587,                 7.7264,                 1.9796,             0.00027448,             0.00027448,             0.00027448
                     22,                 3.7852,                 6.3142,                 2.0206,                0.01984,                0.04095,                0.01879,                0.00862,                 3.7587,                 7.7264,                 1.9796,             0.00028761,             0.00028761,             0.00028761
                     23,                 3.7846,                 6.4658,                 2.0098,                0.01823,                0.04003,                0.01838,                0.00865,                 3.6315,                 7.6787,                 1.9453,             0.00030069,             0.00030069,             0.00030069
                     24,                 3.7489,                 6.4115,                 2.0203,                0.01823,                0.04003,                0.01838,                0.00865,                 3.6315,                 7.6787,                 1.9453,              0.0003137,              0.0003137,              0.0003137
                     25,                 3.5861,                 6.2117,                 2.0401,                0.01844,                0.04491,                0.02118,                0.00976,                 3.5862,                 7.6706,                 1.9458,             0.00032666,             0.00032666,             0.00032666
                     26,                 3.6078,                 5.7638,                 1.9901,                0.01844,                0.04491,                0.02118,                0.00976,                 3.5862,                 7.6706,                 1.9458,             0.00033957,             0.00033957,             0.00033957
                     27,                 3.7402,                 6.0485,                 2.0019,                0.01857,                0.04886,                  0.026,                 0.0104,                 3.5951,                 7.6275,                 1.9489,             0.00035241,             0.00035241,             0.00035241
                     28,                 3.8773,                 6.2529,                 1.9871,                0.01857,                0.04886,                  0.026,                 0.0104,                 3.5951,                 7.6275,                 1.9489,              0.0003652,              0.0003652,              0.0003652
                     29,                 3.3585,                 5.8045,                 1.9503,                0.02118,                0.06545,                0.02888,                0.01228,                 3.6983,                 7.6263,                 1.9684,             0.00037794,             0.00037794,             0.00037794
                     30,                 3.6741,                 5.8202,                 1.9379,                0.02118,                0.06545,                0.02888,                0.01228,                 3.6983,                 7.6263,                 1.9684,             0.00039061,             0.00039061,             0.00039061
                     31,                 3.4614,                 5.4196,                 1.9613,                0.02761,                0.08906,                0.05447,                0.02277,                 3.6945,                 7.4363,                 1.9487,             0.00040324,             0.00040324,             0.00040324
                     32,                  3.858,                 5.6271,                 1.9777,                0.02761,                0.08906,                0.05447,                0.02277,                 3.6945,                 7.4363,                 1.9487,              0.0004158,              0.0004158,              0.0004158
                     33,                 3.6744,                 5.4191,                  1.942,                 0.0372,                0.12047,                 0.0736,                0.03144,                 3.5928,                 7.3055,                 1.9337,             0.00042831,             0.00042831,             0.00042831
                     34,                 3.6274,                  5.235,                 1.9457,                 0.0372,                0.12047,                 0.0736,                0.03144,                 3.5928,                 7.3055,                 1.9337,             0.00044076,             0.00044076,             0.00044076
                     35,                 3.4732,                 4.9159,                 1.9097,                0.04742,                0.15099,                 0.0984,                0.04207,                 3.4779,                 7.2327,                 1.9175,             0.00045315,             0.00045315,             0.00045315
                     36,                 3.3668,                 4.9371,                 1.8989,                0.04742,                0.15099,                 0.0984,                0.04207,                 3.4779,                 7.2327,                 1.9175,             0.00046549,             0.00046549,             0.00046549
                     37,                 3.6191,                 5.2583,                 1.9566,                0.05509,                0.16951,                0.10214,                0.04106,                 3.5637,                 7.2614,                 1.9259,             0.00047777,             0.00047777,             0.00047777
                     38,                 3.6996,                 4.9845,                 1.9599,                0.05509,                0.16951,                0.10214,                0.04106,                 3.5637,                 7.2614,                 1.9259,                0.00049,                0.00049,                0.00049
                     39,                 3.6698,                 4.6613,                 1.9923,                0.05706,                0.18165,                0.10518,                0.03745,                 3.5997,                  7.264,                  1.934,             0.00050216,             0.00050216,             0.00050216
                     40,                 3.6396,                  4.569,                 1.9781,                0.05706,                0.18165,                0.10518,                0.03745,                 3.5997,                  7.264,                  1.934,             0.00051427,             0.00051427,             0.00051427
                     41,                 3.8084,                 4.2498,                 1.9557,                0.06814,                0.21847,                0.13726,                0.05236,                 3.6314,                 7.0267,                 1.9322,             0.00052633,             0.00052633,             0.00052633
                     42,                 3.3722,                 4.1642,                 1.9383,                0.06814,                0.21847,                0.13726,                0.05236,                 3.6314,                 7.0267,                 1.9322,             0.00053833,             0.00053833,             0.00053833
                     43,                  3.383,                 4.2341,                 1.9125,                 0.0774,                 0.2388,                0.15823,                0.06889,                 3.5192,                 6.8932,                 1.9106,             0.00055027,             0.00055027,             0.00055027
                     44,                 3.3506,                 4.1233,                  1.941,                 0.0774,                 0.2388,                0.15823,                0.06889,                 3.5192,                 6.8932,                 1.9106,             0.00056215,             0.00056215,             0.00056215
                     45,                 3.6218,                 4.0678,                 1.9314,                0.08132,                0.24632,                0.16366,                0.06827,                 3.5667,                 6.8982,                 1.9167,             0.00057398,             0.00057398,             0.00057398
                     46,                  3.604,                 3.9199,                  1.966,                0.08132,                0.24632,                0.16366,                0.06827,                 3.5667,                 6.8982,                 1.9167,             0.00058575,             0.00058575,             0.00058575
                     47,                 3.7806,                 4.1696,                 1.9344,                 0.0802,                0.23948,                0.15821,                0.06299,                 3.7557,                 6.8502,                  1.939,             0.00059747,             0.00059747,             0.00059747
                     48,                 3.7033,                 4.0742,                 1.9949,                 0.0802,                0.23948,                0.15821,                0.06299,                 3.7557,                 6.8502,                  1.939,             0.00060913,             0.00060913,             0.00060913
                     49,                  3.714,                 3.8841,                 1.9835,                  0.067,                0.19764,                0.11076,                0.04975,                 3.8236,                 6.9685,                 1.9692,             0.00062073,             0.00062073,             0.00062073
                     50,                 3.6397,                 3.6413,                 1.9119,                  0.067,                0.19764,                0.11076,                0.04975,                 3.8236,                 6.9685,                 1.9692,             0.00063228,             0.00063228,             0.00063228
                     51,                 3.6125,                  3.817,                 1.9646,                0.06548,                0.19219,                0.10564,                0.04392,                 3.7921,                 6.9895,                 1.9683,             0.00064376,             0.00064376,             0.00064376
                     52,                 3.4955,                  3.327,                 1.9236,                0.06548,                0.19219,                0.10564,                0.04392,                 3.7921,                 6.9895,                 1.9683,              0.0006552,              0.0006552,              0.0006552
                     53,                  3.612,                 3.5213,                 1.9247,                0.06548,                0.19219,                0.10564,                0.04392,                 3.7921,                 6.9895,                 1.9683,             0.00066657,             0.00066657,             0.00066657
                     54,                 3.5766,                 3.4842,                 1.9416,                0.07683,                0.21658,                0.12608,                0.05326,                 3.5797,                 6.8477,                 1.9464,             0.00067789,             0.00067789,             0.00067789
                     55,                 3.8395,                 3.4361,                 1.9923,                0.07683,                0.21658,                0.12608,                0.05326,                 3.5797,                 6.8477,                 1.9464,             0.00068915,             0.00068915,             0.00068915
                     56,                 3.6546,                 3.4281,                 1.9086,                0.07683,                0.21658,                0.12608,                0.05326,                 3.5797,                 6.8477,                 1.9464,             0.00070036,             0.00070036,             0.00070036
                     57,                 3.6827,                 3.2614,                 1.9213,                0.07434,                0.20985,                 0.1168,                0.04933,                 3.7186,                 6.7437,                 1.9676,             0.00071151,             0.00071151,             0.00071151
                     58,                  3.539,                 3.0772,                  1.876,                0.07434,                0.20985,                 0.1168,                0.04933,                 3.7186,                 6.7437,                 1.9676,              0.0007226,              0.0007226,              0.0007226
                     59,                 3.8035,                 3.2215,                 1.9086,                0.07434,                0.20985,                 0.1168,                0.04933,                 3.7186,                 6.7437,                 1.9676,             0.00073364,             0.00073364,             0.00073364
